block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
417,HOUGANG AVE 8,2020-11,HOUGANG,4 ROOM,04 TO 06,103.0,Model A,1989,67 years 10 months,425000.0,417 HOUGANG AVENUE 8,"1.37642585, 103.89505320408922",0.056364533,1
417,HOUGANG AVE 8,2020-12,HOUGANG,4 ROOM,07 TO 09,105.0,Model A,1989,67 years 08 months,430000.0,417 HOUGANG AVENUE 8,"1.37642585, 103.89505320408922",0.056364533,1
417,HOUGANG AVE 8,2021-02,HOUGANG,4 ROOM,01 TO 03,109.0,Model A,1989,67 years 06 months,415000.0,417 HOUGANG AVENUE 8,"1.37642585, 103.89505320408922",0.056364533,1
417,HOUGANG AVE 8,2021-02,HOUGANG,5 ROOM,07 TO 09,123.0,Improved,1989,67 years 07 months,535000.0,417 HOUGANG AVENUE 8,"1.37642585, 103.89505320408922",0.056364533,1
419,HOUGANG AVE 8,2021-02,HOUGANG,4 ROOM,07 TO 09,103.0,Model A,1989,67 years 06 months,438000.0,419 HOUGANG AVENUE 8,"1.3760439999999998, 103.89509902120652",0.067631066,1
421,HOUGANG AVE 10,2020-03,HOUGANG,4 ROOM,07 TO 09,108.0,Model A,1989,68 years 04 months,425000.0,421 HOUGANG AVENUE 10,"1.37539645, 103.89469190748073",0.073353074,1
421,HOUGANG AVE 10,2020-05,HOUGANG,4 ROOM,04 TO 06,113.0,Model A,1989,68 years 03 months,450000.0,421 HOUGANG AVENUE 10,"1.37539645, 103.89469190748073",0.073353074,1
421,HOUGANG AVE 10,2020-06,HOUGANG,4 ROOM,13 TO 15,105.0,Model A,1989,68 years 03 months,430000.0,421 HOUGANG AVENUE 10,"1.37539645, 103.89469190748073",0.073353074,1
420,HOUGANG AVE 10,2020-01,HOUGANG,4 ROOM,01 TO 03,110.0,Model A,1989,68 years 08 months,400000.0,420 HOUGANG AVENUE 10,"1.37567305, 103.89505505886606",0.07365783,1
420,HOUGANG AVE 10,2020-02,HOUGANG,4 ROOM,13 TO 15,110.0,Model A,1989,68 years 06 months,430000.0,420 HOUGANG AVENUE 10,"1.37567305, 103.89505505886606",0.07365783,1
420,HOUGANG AVE 10,2020-09,HOUGANG,4 ROOM,01 TO 03,105.0,Model A,1989,68 years,400000.0,420 HOUGANG AVENUE 10,"1.37567305, 103.89505505886606",0.07365783,1
420,HOUGANG AVE 10,2020-09,HOUGANG,4 ROOM,01 TO 03,105.0,Model A,1989,67 years 11 months,398000.0,420 HOUGANG AVENUE 10,"1.37567305, 103.89505505886606",0.07365783,1
277A,COMPASSVALE LINK,2020-02,SENGKANG,4 ROOM,01 TO 03,90.0,Premium Apartment,2009,88 years 04 months,540000.0,277A COMPASSVALE LINK,"1.38186965, 103.89444696418022",0.10551885,1
277A,COMPASSVALE LINK,2020-02,SENGKANG,4 ROOM,07 TO 09,90.0,Premium Apartment,2009,88 years 04 months,582000.0,277A COMPASSVALE LINK,"1.38186965, 103.89444696418022",0.10551885,1
277A,COMPASSVALE LINK,2020-08,SENGKANG,4 ROOM,13 TO 15,90.0,Premium Apartment,2009,87 years 10 months,600000.0,277A COMPASSVALE LINK,"1.38186965, 103.89444696418022",0.10551885,1
277A,COMPASSVALE LINK,2020-09,SENGKANG,4 ROOM,01 TO 03,90.0,Premium Apartment,2009,87 years 09 months,495000.0,277A COMPASSVALE LINK,"1.38186965, 103.89444696418022",0.10551885,1
277A,COMPASSVALE LINK,2020-12,SENGKANG,4 ROOM,13 TO 15,92.0,Premium Apartment,2009,87 years 06 months,580000.0,277A COMPASSVALE LINK,"1.38186965, 103.89444696418022",0.10551885,1
277A,COMPASSVALE LINK,2021-01,SENGKANG,4 ROOM,07 TO 09,90.0,Premium Apartment,2009,87 years 06 months,568000.0,277A COMPASSVALE LINK,"1.38186965, 103.89444696418022",0.10551885,1
436,HOUGANG AVE 8,2021-01,HOUGANG,5 ROOM,01 TO 03,132.0,Improved,1990,68 years 11 months,528000.0,436 HOUGANG AVENUE 8,"1.3772086, 103.89382112173085",0.10666648,1
436,HOUGANG AVE 8,2021-02,HOUGANG,4 ROOM,07 TO 09,103.0,Model A,1990,68 years 10 months,435000.0,436 HOUGANG AVENUE 8,"1.3772086, 103.89382112173085",0.10666648,1
277B,COMPASSVALE LINK,2020-02,SENGKANG,4 ROOM,07 TO 09,90.0,Premium Apartment,2009,88 years 04 months,558000.0,277B COMPASSVALE LINK,"1.3823340000000002, 103.89446677080379",0.1166949,1
277B,COMPASSVALE LINK,2020-03,SENGKANG,4 ROOM,04 TO 06,90.0,Premium Apartment,2009,88 years 03 months,515000.0,277B COMPASSVALE LINK,"1.3823340000000002, 103.89446677080379",0.1166949,1
277B,COMPASSVALE LINK,2020-06,SENGKANG,4 ROOM,07 TO 09,90.0,Premium Apartment,2009,88 years 02 months,569000.0,277B COMPASSVALE LINK,"1.3823340000000002, 103.89446677080379",0.1166949,1
277B,COMPASSVALE LINK,2020-11,SENGKANG,4 ROOM,04 TO 06,92.0,Premium Apartment,2009,87 years 07 months,535000.0,277B COMPASSVALE LINK,"1.3823340000000002, 103.89446677080379",0.1166949,1
277B,COMPASSVALE LINK,2021-01,SENGKANG,4 ROOM,13 TO 15,90.0,Premium Apartment,2009,87 years 06 months,600000.0,277B COMPASSVALE LINK,"1.3823340000000002, 103.89446677080379",0.1166949,1
411,HOUGANG AVE 10,2020-10,HOUGANG,4 ROOM,04 TO 06,93.0,New Generation,1986,64 years 04 months,390000.0,411 HOUGANG AVENUE 10,"1.3741324000000001, 103.8951914474026",0.11731323,1
411,HOUGANG AVE 10,2020-11,HOUGANG,4 ROOM,10 TO 12,91.0,New Generation,1986,64 years 03 months,380000.0,411 HOUGANG AVENUE 10,"1.3741324000000001, 103.8951914474026",0.11731323,1
411,HOUGANG AVE 10,2021-02,HOUGANG,4 ROOM,07 TO 09,91.0,New Generation,1986,64 years,438000.0,411 HOUGANG AVENUE 10,"1.3741324000000001, 103.8951914474026",0.11731323,1
434,HOUGANG AVE 8,2020-04,HOUGANG,4 ROOM,01 TO 03,105.0,Model A,1989,68 years 03 months,359000.0,434 HOUGANG AVENUE 8,"1.3765729, 103.89374295205708",0.1199243,1
434,HOUGANG AVE 8,2020-06,HOUGANG,4 ROOM,07 TO 09,103.0,Model A,1989,68 years 02 months,440000.0,434 HOUGANG AVENUE 8,"1.3765729, 103.89374295205708",0.1199243,1
434,HOUGANG AVE 8,2020-08,HOUGANG,4 ROOM,04 TO 06,113.0,Model A,1989,67 years 10 months,435000.0,434 HOUGANG AVENUE 8,"1.3765729, 103.89374295205708",0.1199243,1
434,HOUGANG AVE 8,2020-12,HOUGANG,5 ROOM,04 TO 06,122.0,Improved,1989,67 years 07 months,510000.0,434 HOUGANG AVENUE 8,"1.3765729, 103.89374295205708",0.1199243,1
409,HOUGANG AVE 10,2020-06,HOUGANG,5 ROOM,07 TO 09,121.0,Improved,1985,64 years 08 months,530000.0,409 HOUGANG AVENUE 10,"1.37375295, 103.89501319510364",0.1203967,1
275A,COMPASSVALE LINK,2020-03,SENGKANG,4 ROOM,07 TO 09,92.0,Premium Apartment,2009,88 years 03 months,600000.0,275A COMPASSVALE LINK,"1.3828713000000001, 103.89462582840099",0.1273778,1
275A,COMPASSVALE LINK,2020-03,SENGKANG,4 ROOM,04 TO 06,90.0,Premium Apartment,2009,88 years 03 months,530000.0,275A COMPASSVALE LINK,"1.3828713000000001, 103.89462582840099",0.1273778,1
275A,COMPASSVALE LINK,2020-06,SENGKANG,4 ROOM,07 TO 09,90.0,Premium Apartment,2009,88 years 03 months,565000.0,275A COMPASSVALE LINK,"1.3828713000000001, 103.89462582840099",0.1273778,1
265A,COMPASSVALE LINK,2020-01,SENGKANG,4 ROOM,07 TO 09,92.0,Premium Apartment,2008,87 years 05 months,500000.0,265A COMPASSVALE LINK,"1.3823253, 103.89533817838151",0.12944414,1
264E,COMPASSVALE BOW,2020-08,SENGKANG,4 ROOM,04 TO 06,92.0,Premium Apartment,2008,86 years 10 months,490000.0,264E COMPASSVALE BOW,"1.38173655, 103.89554639166104",0.13047266,1
264E,COMPASSVALE BOW,2021-02,SENGKANG,4 ROOM,01 TO 03,92.0,Premium Apartment,2008,86 years 03 months,435000.0,264E COMPASSVALE BOW,"1.38173655, 103.89554639166104",0.13047266,1
413,HOUGANG AVE 10,2020-02,HOUGANG,4 ROOM,10 TO 12,91.0,New Generation,1986,65 years 02 months,400000.0,413 HOUGANG AVENUE 10,"1.3745694, 103.89562040836302",0.13534145,1
413,HOUGANG AVE 10,2020-03,HOUGANG,4 ROOM,07 TO 09,93.0,New Generation,1986,65 years,420000.0,413 HOUGANG AVENUE 10,"1.3745694, 103.89562040836302",0.13534145,1
413,HOUGANG AVE 10,2020-10,HOUGANG,4 ROOM,04 TO 06,91.0,New Generation,1986,64 years 05 months,405000.0,413 HOUGANG AVENUE 10,"1.3745694, 103.89562040836302",0.13534145,1
413,HOUGANG AVE 10,2020-12,HOUGANG,4 ROOM,01 TO 03,91.0,New Generation,1986,64 years 03 months,390000.0,413 HOUGANG AVENUE 10,"1.3745694, 103.89562040836302",0.13534145,1
408,HOUGANG AVE 10,2020-08,HOUGANG,5 ROOM,07 TO 09,121.0,Improved,1986,64 years 08 months,555000.0,408 HOUGANG AVENUE 10,"1.37303715, 103.89504473244133",0.1397996,1
408,HOUGANG AVE 10,2020-09,HOUGANG,5 ROOM,10 TO 12,121.0,Improved,1986,64 years 08 months,575000.0,408 HOUGANG AVENUE 10,"1.37303715, 103.89504473244133",0.1397996,1
408,HOUGANG AVE 10,2020-10,HOUGANG,5 ROOM,04 TO 06,121.0,Improved,1986,64 years 07 months,560000.0,408 HOUGANG AVENUE 10,"1.37303715, 103.89504473244133",0.1397996,1
408,HOUGANG AVE 10,2021-01,HOUGANG,5 ROOM,07 TO 09,121.0,Improved,1986,64 years 04 months,535000.0,408 HOUGANG AVENUE 10,"1.37303715, 103.89504473244133",0.1397996,1
275B,COMPASSVALE LINK,2020-07,SENGKANG,4 ROOM,10 TO 12,90.0,Premium Apartment,2009,88 years,570000.0,275B COMPASSVALE LINK,"1.3833418000000002, 103.89455063414576",0.1409691,1
275B,COMPASSVALE LINK,2020-07,SENGKANG,4 ROOM,13 TO 15,90.0,Premium Apartment,2009,87 years 11 months,590000.0,275B COMPASSVALE LINK,"1.3833418000000002, 103.89455063414576",0.1409691,1
275B,COMPASSVALE LINK,2020-08,SENGKANG,4 ROOM,07 TO 09,90.0,Premium Apartment,2009,87 years 10 months,588000.0,275B COMPASSVALE LINK,"1.3833418000000002, 103.89455063414576",0.1409691,1
275B,COMPASSVALE LINK,2020-12,SENGKANG,4 ROOM,01 TO 03,90.0,Premium Apartment,2009,87 years 07 months,540000.0,275B COMPASSVALE LINK,"1.3833418000000002, 103.89455063414576",0.1409691,1
275B,COMPASSVALE LINK,2020-12,SENGKANG,4 ROOM,07 TO 09,92.0,Premium Apartment,2009,87 years 06 months,588000.0,275B COMPASSVALE LINK,"1.3833418000000002, 103.89455063414576",0.1409691,1
461,HOUGANG AVE 10,2020-06,HOUGANG,5 ROOM,01 TO 03,124.0,Improved,1992,71 years 06 months,530000.0,461 HOUGANG AVENUE 10,"1.3727613, 103.89462604853301",0.14409573,1
416,HOUGANG AVE 10,2020-06,HOUGANG,5 ROOM,04 TO 06,120.0,Improved,1985,64 years 05 months,472000.0,416 HOUGANG AVENUE 10,"1.37549715, 103.89590769357298",0.14625649,1
416,HOUGANG AVE 10,2021-02,HOUGANG,4 ROOM,04 TO 06,98.0,New Generation,1985,63 years 09 months,430000.0,416 HOUGANG AVENUE 10,"1.37549715, 103.89590769357298",0.14625649,1
275D,COMPASSVALE LINK,2020-09,SENGKANG,4 ROOM,04 TO 06,90.0,Premium Apartment,2009,87 years 09 months,570000.0,275D COMPASSVALE LINK,"1.3827943999999999, 103.89394600670937",0.15357591,1
275D,COMPASSVALE LINK,2020-09,SENGKANG,4 ROOM,04 TO 06,92.0,Premium Apartment,2009,87 years 09 months,560000.0,275D COMPASSVALE LINK,"1.3827943999999999, 103.89394600670937",0.15357591,1
265B,COMPASSVALE LINK,2020-02,SENGKANG,4 ROOM,16 TO 18,92.0,Premium Apartment,2008,87 years 03 months,508000.0,265B COMPASSVALE LINK,"1.38222325, 103.89573941654929",0.15471056,1
