block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
156,BEDOK STH AVE 3,2020-07,BEDOK,5 ROOM,01 TO 03,122.0,Improved,1985,64 years 05 months,510000.0,156 BEDOK SOUTH AVENUE 3,"1.3183178500000001, 103.9455602262666",0.034291953,1
157,BEDOK STH AVE 3,2020-08,BEDOK,4 ROOM,07 TO 09,83.0,Simplified,1985,63 years 08 months,361000.0,157 BEDOK SOUTH AVENUE 3,"1.3187212000000001, 103.94572304799308",0.036059324,1
157,BEDOK STH AVE 3,2020-09,BEDOK,4 ROOM,01 TO 03,83.0,Simplified,1985,63 years 07 months,325000.0,157 BEDOK SOUTH AVENUE 3,"1.3187212000000001, 103.94572304799308",0.036059324,1
157,BEDOK STH AVE 3,2021-01,BEDOK,4 ROOM,07 TO 09,105.0,Model A,1985,63 years 04 months,480000.0,157 BEDOK SOUTH AVENUE 3,"1.3187212000000001, 103.94572304799308",0.036059324,1
159,BEDOK STH AVE 3,2020-10,BEDOK,4 ROOM,10 TO 12,83.0,Simplified,1985,63 years 06 months,365000.0,159 BEDOK SOUTH AVENUE 3,"1.3190212, 103.94556927893726",0.049195368,1
159,BEDOK STH AVE 3,2021-02,BEDOK,4 ROOM,01 TO 03,83.0,Simplified,1985,63 years 01 month,385000.0,159 BEDOK SOUTH AVENUE 3,"1.3190212, 103.94556927893726",0.049195368,1
161,BEDOK STH AVE 3,2020-12,BEDOK,EXECUTIVE,01 TO 03,151.0,Maisonette,1985,63 years 10 months,750000.0,161 BEDOK SOUTH AVENUE 3,"1.31958135, 103.9457571208705",0.058705676,1
162,BEDOK STH RD,2020-02,BEDOK,EXECUTIVE,01 TO 03,151.0,Maisonette,1985,64 years 07 months,640000.0,162 BEDOK SOUTH ROAD,"1.3196482999999999, 103.94607919437942",0.069397666,1
165,BEDOK STH RD,2020-06,BEDOK,4 ROOM,04 TO 06,83.0,Simplified,1985,63 years 10 months,358000.0,165 BEDOK SOUTH ROAD,"1.3203038, 103.94609228604814",0.085734986,1
165,BEDOK STH RD,2020-06,BEDOK,4 ROOM,10 TO 12,105.0,Model A,1985,63 years 09 months,500000.0,165 BEDOK SOUTH ROAD,"1.3203038, 103.94609228604814",0.085734986,1
165,BEDOK STH RD,2020-11,BEDOK,4 ROOM,10 TO 12,83.0,Simplified,1985,63 years 03 months,410000.0,165 BEDOK SOUTH ROAD,"1.3203038, 103.94609228604814",0.085734986,1
165,BEDOK STH RD,2021-01,BEDOK,4 ROOM,10 TO 12,105.0,Model A,1985,63 years 02 months,530000.0,165 BEDOK SOUTH ROAD,"1.3203038, 103.94609228604814",0.085734986,1
165,BEDOK STH RD,2021-02,BEDOK,4 ROOM,07 TO 09,83.0,Simplified,1985,63 years 01 month,400000.0,165 BEDOK SOUTH ROAD,"1.3203038, 103.94609228604814",0.085734986,1
160,BEDOK STH AVE 3,2020-02,BEDOK,EXECUTIVE,07 TO 09,150.0,Apartment,1986,65 years 03 months,668000.0,160 BEDOK SOUTH AVENUE 3,"1.31921635, 103.94512732600873",0.08686799,1
158,BEDOK STH AVE 3,2020-09,BEDOK,3 ROOM,01 TO 03,64.0,Simplified,1985,64 years 02 months,268000.0,158 BEDOK SOUTH AVENUE 3,"1.3187419999999999, 103.94505644769569",0.087512225,1
170,BEDOK STH RD,2020-11,BEDOK,4 ROOM,07 TO 09,84.0,Simplified,1986,64 years 03 months,390000.0,170 BEDOK SOUTH ROAD,"1.3206687000000001, 103.94605820963045",0.093368724,1
166,BEDOK STH AVE 3,2020-01,BEDOK,4 ROOM,07 TO 09,105.0,Model A,1985,64 years 02 months,486000.0,166 BEDOK SOUTH AVENUE 3,"1.3200314, 103.94518834849134",0.096076705,1
166,BEDOK STH AVE 3,2020-11,BEDOK,4 ROOM,10 TO 12,83.0,Simplified,1985,63 years 05 months,420000.0,166 BEDOK SOUTH AVENUE 3,"1.3200314, 103.94518834849134",0.096076705,1
171,BEDOK STH RD,2020-07,BEDOK,4 ROOM,10 TO 12,84.0,Simplified,1985,64 years 04 months,388000.0,171 BEDOK SOUTH ROAD,"1.3208493, 103.94537260963045",0.10279964,1
171,BEDOK STH RD,2021-01,BEDOK,5 ROOM,07 TO 09,122.0,Improved,1985,63 years 11 months,510000.0,171 BEDOK SOUTH ROAD,"1.3208493, 103.94537260963045",0.10279964,1
169,BEDOK STH AVE 3,2020-10,BEDOK,4 ROOM,04 TO 06,83.0,Simplified,1985,63 years 05 months,355000.0,169 BEDOK SOUTH AVENUE 3,"1.3203755, 103.94509644054902",0.10978882,1
169,BEDOK STH AVE 3,2020-11,BEDOK,4 ROOM,01 TO 03,105.0,Model A,1985,63 years 05 months,460000.0,169 BEDOK SOUTH AVENUE 3,"1.3203755, 103.94509644054902",0.10978882,1
169,BEDOK STH AVE 3,2020-12,BEDOK,4 ROOM,10 TO 12,83.0,Simplified,1985,63 years 03 months,405000.0,169 BEDOK SOUTH AVENUE 3,"1.3203755, 103.94509644054902",0.10978882,1
169,BEDOK STH AVE 3,2021-01,BEDOK,4 ROOM,07 TO 09,104.0,Model A,1985,63 years 03 months,470000.0,169 BEDOK SOUTH AVENUE 3,"1.3203755, 103.94509644054902",0.10978882,1
164,BEDOK STH RD,2020-10,BEDOK,4 ROOM,01 TO 03,84.0,Simplified,1986,64 years 04 months,375000.0,164 BEDOK SOUTH ROAD,"1.3200734, 103.9465222519834",0.11002402,1
167,BEDOK STH AVE 3,2020-09,BEDOK,EXECUTIVE,07 TO 09,158.0,Apartment,1986,64 years 07 months,752888.0,167 BEDOK SOUTH AVENUE 3,"1.3196103, 103.94491591312158",0.11233078,1
167,BEDOK STH AVE 3,2020-10,BEDOK,EXECUTIVE,07 TO 09,146.0,Maisonette,1986,64 years 07 months,705000.0,167 BEDOK SOUTH AVENUE 3,"1.3196103, 103.94491591312158",0.11233078,1
