block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
209,YISHUN ST 21,2020-01,YISHUN,5 ROOM,10 TO 12,121.0,Improved,1985,64 years 05 months,455000.0,209 YISHUN STREET 21,"1.4313528500000001, 103.8376963",0.05614568,1
209,YISHUN ST 21,2021-01,YISHUN,5 ROOM,07 TO 09,121.0,Improved,1985,63 years 06 months,529000.0,209 YISHUN STREET 21,"1.4313528500000001, 103.8376963",0.05614568,1
232,YISHUN ST 21,2020-06,YISHUN,4 ROOM,10 TO 12,98.0,New Generation,1985,64 years 02 months,330000.0,232 YISHUN STREET 21,"1.43467495, 103.83732413205846",0.061156433,1
231,YISHUN ST 21,2020-08,YISHUN,5 ROOM,01 TO 03,121.0,Improved,1985,63 years 10 months,400000.0,231 YISHUN STREET 21,"1.4341347500000001, 103.83719331731622",0.0685759,1
231,YISHUN ST 21,2020-09,YISHUN,5 ROOM,04 TO 06,126.0,Improved,1985,63 years 09 months,395000.0,231 YISHUN STREET 21,"1.4341347500000001, 103.83719331731622",0.0685759,1
211,YISHUN ST 21,2020-03,YISHUN,3 ROOM,04 TO 06,67.0,New Generation,1985,64 years 06 months,265000.0,211 YISHUN STREET 21,"1.4317852, 103.83828635066314",0.07072556,1
293,YISHUN ST 22,2021-01,YISHUN,3 ROOM,01 TO 03,77.0,Model A,1992,70 years 05 months,293000.0,293 YISHUN STREET 22,"1.4361765, 103.83757271933058",0.076815076,1
212,YISHUN ST 21,2020-07,YISHUN,5 ROOM,04 TO 06,121.0,Improved,1985,63 years 09 months,438000.0,212 YISHUN STREET 21,"1.43168, 103.8371239947991",0.08714198,1
212,YISHUN ST 21,2020-09,YISHUN,5 ROOM,07 TO 09,126.0,Improved,1985,63 years 07 months,470000.0,212 YISHUN STREET 21,"1.43168, 103.8371239947991",0.08714198,1
212,YISHUN ST 21,2020-10,YISHUN,5 ROOM,10 TO 12,126.0,Improved,1985,63 years 06 months,498000.0,212 YISHUN STREET 21,"1.43168, 103.8371239947991",0.08714198,1
261,YISHUN ST 22,2020-01,YISHUN,3 ROOM,01 TO 03,64.0,Simplified,1985,65 years,248000.0,261 YISHUN STREET 22,"1.4362462, 103.8381999",0.08787585,1
261,YISHUN ST 22,2020-07,YISHUN,3 ROOM,04 TO 06,64.0,Simplified,1985,64 years 05 months,255000.0,261 YISHUN STREET 22,"1.4362462, 103.8381999",0.08787585,1
292,YISHUN ST 22,2020-03,YISHUN,EXECUTIVE,01 TO 03,165.0,Apartment,1992,71 years 03 months,660000.0,292 YISHUN STREET 22,"1.4368258, 103.83753800409055",0.09444455,1
264,YISHUN ST 22,2020-01,YISHUN,4 ROOM,10 TO 12,84.0,Simplified,1986,65 years 05 months,280000.0,264 YISHUN STREET 22,"1.4358576, 103.83842361851745",0.09584613,1
264,YISHUN ST 22,2020-03,YISHUN,3 ROOM,04 TO 06,64.0,Simplified,1986,65 years 03 months,225000.0,264 YISHUN STREET 22,"1.4358576, 103.83842361851745",0.09584613,1
264,YISHUN ST 22,2020-07,YISHUN,4 ROOM,04 TO 06,104.0,Model A,1986,65 years,355000.0,264 YISHUN STREET 22,"1.4358576, 103.83842361851745",0.09584613,1
264,YISHUN ST 22,2020-08,YISHUN,3 ROOM,01 TO 03,64.0,Simplified,1986,64 years 11 months,255000.0,264 YISHUN STREET 22,"1.4358576, 103.83842361851745",0.09584613,1
213,YISHUN ST 21,2020-09,YISHUN,5 ROOM,04 TO 06,121.0,Improved,1985,63 years 05 months,448000.0,213 YISHUN STREET 21,"1.4317577, 103.83684255969916",0.11400012,1
213,YISHUN ST 21,2020-10,YISHUN,5 ROOM,07 TO 09,121.0,Improved,1985,63 years 03 months,500000.0,213 YISHUN STREET 21,"1.4317577, 103.83684255969916",0.11400012,1
237,YISHUN RING RD,2020-02,YISHUN,4 ROOM,04 TO 06,93.0,New Generation,1985,64 years 04 months,310000.0,237 YISHUN RING ROAD,"1.43344825, 103.8388810696008",0.121705495,1
237,YISHUN RING RD,2020-07,YISHUN,4 ROOM,10 TO 12,96.0,New Generation,1985,64 years,390000.0,237 YISHUN RING ROAD,"1.43344825, 103.8388810696008",0.121705495,1
237,YISHUN RING RD,2020-12,YISHUN,3 ROOM,10 TO 12,67.0,New Generation,1985,63 years 06 months,300000.0,237 YISHUN RING ROAD,"1.43344825, 103.8388810696008",0.121705495,1
276,YISHUN ST 22,2020-08,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1985,64 years 01 month,300000.0,276 YISHUN STREET 22,"1.43790005, 103.8380928",0.123662904,1
276,YISHUN ST 22,2021-01,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1985,63 years 08 months,318000.0,276 YISHUN STREET 22,"1.43790005, 103.8380928",0.123662904,1
278,YISHUN ST 22,2021-01,YISHUN,4 ROOM,10 TO 12,104.0,Model A,1985,63 years 10 months,375000.0,278 YISHUN STREET 22,"1.4382217499999999, 103.83796265000001",0.12893255,1
279,YISHUN ST 22,2020-07,YISHUN,4 ROOM,10 TO 12,84.0,Simplified,1985,64 years 03 months,295000.0,279 YISHUN STREET 22,"1.4383751, 103.83737205",0.1393554,1
279,YISHUN ST 22,2020-09,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1985,64 years 01 month,288000.0,279 YISHUN STREET 22,"1.4383751, 103.83737205",0.1393554,1
279,YISHUN ST 22,2020-09,YISHUN,4 ROOM,01 TO 03,90.0,Simplified,1985,64 years,315000.0,279 YISHUN STREET 22,"1.4383751, 103.83737205",0.1393554,1
279,YISHUN ST 22,2020-10,YISHUN,4 ROOM,01 TO 03,104.0,Model A,1985,64 years,320000.0,279 YISHUN STREET 22,"1.4383751, 103.83737205",0.1393554,1
266,YISHUN ST 22,2020-03,YISHUN,4 ROOM,04 TO 06,104.0,Model A,1987,66 years,348000.0,266 YISHUN STREET 22,"1.43701245, 103.83881188076089",0.14858165,1
266,YISHUN ST 22,2020-06,YISHUN,3 ROOM,07 TO 09,74.0,Model A,1987,65 years 11 months,255000.0,266 YISHUN STREET 22,"1.43701245, 103.83881188076089",0.14858165,1
266,YISHUN ST 22,2020-08,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1987,65 years 07 months,368000.0,266 YISHUN STREET 22,"1.43701245, 103.83881188076089",0.14858165,1
266,YISHUN ST 22,2020-11,YISHUN,4 ROOM,10 TO 12,104.0,Model A,1987,65 years 05 months,345000.0,266 YISHUN STREET 22,"1.43701245, 103.83881188076089",0.14858165,1
266,YISHUN ST 22,2021-01,YISHUN,3 ROOM,07 TO 09,74.0,Model A,1987,65 years 03 months,288000.0,266 YISHUN STREET 22,"1.43701245, 103.83881188076089",0.14858165,1
