address,block,street_name,lat_long
60 NEW UPPER CHANGI ROAD,60,NEW UPP CHANGI RD,"1.32246505, 103.94128680809197"
527A PASIR RIS STREET 51,527A,PASIR RIS ST 51,"1.3685065, 103.9476750845024"
104 POTONG PASIR AVENUE 1,104,POTONG PASIR AVE 1,"1.3343561, 103.86927341870927"
120 POTONG PASIR AVENUE 1,120,POTONG PASIR AVE 1,"1.3356386, 103.86346228641372"
557 ANG MO KIO AVENUE 10,557,ANG MO KIO AVE 10,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560449, Singapore"
130 BISHAN STREET 12,130,BISHAN ST 12,"1.3458811000000002, 103.85105799651515"
144 SERANGOON NORTH AVENUE 1,144,SERANGOON NTH AVE 1,"1.36778505, 103.87304748955358"
843 TAMPINES STREET 83,843,TAMPINES ST 83,"1.3519689499999998, 103.93443682797769"
368 WOODLANDS AVENUE 1,368,WOODLANDS AVE 1,"1.4328720499999998, 103.78673695819816"
307 BUKIT BATOK STREET 31,307,BT BATOK ST 31,"1.35818755, 103.74813444924027"
188 PUNGGOL CENTRAL,188,PUNGGOL CTRL,"Error: Road retrieved. Returned address Punggol Central, Punggol, Northeast, 821256, Singapore"
322 TAMPINES STREET 33,322,TAMPINES ST 33,"1.3510776, 103.95834746650957"
681B WOODLANDS DRIVE 62,681B,WOODLANDS DR 62,"1.4394114, 103.80337119598012"
615 YISHUN RING ROAD,615,YISHUN RING RD,"Error: Road retrieved. Returned address Yishun Ring Road, Yishun, Northwest, 760413, Singapore"
55 CHAI CHEE DRIVE,55,CHAI CHEE DR,"1.3267231, 103.91906"
67 TELOK BLANGAH DRIVE,67,TELOK BLANGAH DR,"1.27466215, 103.8097513958815"
184 JELEBU ROAD,184,JELEBU RD,"1.3796827, 103.76247403311073"
632 JURONG WEST STREET 65,632,JURONG WEST ST 65,"1.3438159, 103.6996690698166"
442 PASIR RIS DRIVE 6,442,PASIR RIS DR 6,"1.3691126, 103.9574055"
166B PUNGGOL CENTRAL,166B,PUNGGOL CTRL,"Error: Road retrieved. Returned address Punggol Central, Punggol, Northeast, 821256, Singapore"
240 HOUGANG STREET 22,240,HOUGANG ST 22,"Error: Road retrieved. Returned address Hougang Street 22, Hougang, Northeast, 530110, Singapore"
102D PUNGGOL FIELD,102D,PUNGGOL FIELD,"Error: Road retrieved. Returned address Punggol Field, Punggol Cove, Punggol, Northeast, 820198, Singapore"
860 TAMPINES AVENUE 5,860,TAMPINES AVE 5,"1.3554435, 103.93789079999999"
234 LORONG 8 TOA PAYOH,234,LOR 8 TOA PAYOH,"1.3385962999999999, 103.85796515002633"
247 PASIR RIS STREET 21,247,PASIR RIS ST 21,"1.3706771, 103.96253684999999"
688F WOODLANDS DRIVE 75,688F,WOODLANDS DR 75,NONE
79 BEDOK NORTH ROAD,79,BEDOK NTH RD,"1.3276805, 103.9408365248265"
665B JURONG WEST STREET 64,665B,JURONG WEST ST 64,"1.3398316000000001, 103.70301066742303"
200D SENGKANG EAST ROAD,200D,SENGKANG EAST RD,"1.3872037000000002, 103.89319196474028"
59 LORONG 5 TOA PAYOH,59,LOR 5 TOA PAYOH,"1.3367381, 103.8517942"
226 PENDING ROAD,226,PENDING RD,"Error: Road retrieved. Returned address Pending Road, Bukit Panjang, Northwest, 670129, Singapore"
