address,block,street_name,lat_long
116 PASIR RIS STREET 11,116,PASIR RIS ST 11,"Error: Road retrieved. Returned address Pasir Ris Street 11, Pasir Ris, Northeast, 510158, Singapore"
540 BEDOK NORTH STREET 3,540,BEDOK NTH ST 3,"1.3310533, 103.92192894307725"
616 BEDOK RESERVOIR ROAD,616,BEDOK RESERVOIR RD,"1.33151275, 103.91474192856921"
182 BEDOK NORTH ROAD,182,BEDOK NTH RD,"1.32693395, 103.94165795550099"
349 CLEMENTI AVENUE 2,349,CLEMENTI AVE 2,"1.31594575, 103.77114015110357"
567 HOUGANG STREET 51,567,HOUGANG ST 51,"1.3787140500000001, 103.88907218230408"
915 HOUGANG STREET 91,915,HOUGANG ST 91,"1.3775594, 103.88381009957338"
135 LORONG AH SOO,135,LOR AH SOO,"Error: Road retrieved. Returned address Lorong Ah Soo, Hougang, Northeast, 530129, Singapore"
273C COMPASSVALE LINK,273C,COMPASSVALE LINK,"1.3845896, 103.8944642874963"
672B KLANG LANE,672B,KLANG LANE,"Error: Road retrieved. Returned address Klang Lane, Rochor, Singapore, Central, 219924, Singapore"
693 JURONG WEST CENTRAL 1,693,JURONG WEST CTRL 1,"1.3428797000000001, 103.70617984029612"
354D ADMIRALTY DRIVE,354D,ADMIRALTY DR,"Error: Not Singapore. Returned address Admiralty Drive, Sunset Beach, Huntington Beach, Orange County, California, 92649, United States"
168 WOODLANDS STREET 11,168,WOODLANDS ST 11,"1.4333652, 103.77700651455147"
504C YISHUN STREET 51,504C,YISHUN ST 51,"Error: Road retrieved. Returned address Yishun Street 51, Yishun, Northwest, 762511, Singapore"
711 BEDOK RESERVOIR ROAD,711,BEDOK RESERVOIR RD,"1.3359621, 103.92368388773679"
5 TOH YI DRIVE,5,TOH YI DR,"1.3352919, 103.77095430993761"
612 CLEMENTI WEST STREET 1,612,CLEMENTI WEST ST 1,"1.3035364999999999, 103.76883542741666"
818 TAMPINES STREET 81,818,TAMPINES ST 81,"1.34797785, 103.93677488955561"
7 LORONG 7 TOA PAYOH,7,LOR 7 TOA PAYOH,"1.33804905, 103.85730901761949"
318 WOODLANDS STREET 31,318,WOODLANDS ST 31,"Error: Road retrieved. Returned address Woodlands Street 31, Woodlands, Northwest, 31, Singapore"
727 YISHUN STREET 71,727,YISHUN ST 71,"1.4262134, 103.83098410217809"
112 BUKIT BATOK WEST AVENUE 6,112,BT BATOK WEST AVE 6,"1.3483091, 103.74530225855615"
634 ANG MO KIO AVENUE 6,634,ANG MO KIO AVE 6,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore"
5 EVERTON PARK,5,EVERTON PK,"Error: Not Singapore. Returned address Stafford Road, Everton Park, Brisbane City, Queensland, 4053, Australia"
344 UBI AVENUE 1,344,UBI AVE 1,"1.3263042, 103.89951233351204"
606 HOUGANG AVENUE 4,606,HOUGANG AVE 4,"Error: Road retrieved. Returned address Hougang Avenue 4, Hougang, Northeast, 530682, Singapore"
1 DOVER ROAD,1,DOVER RD,"1.3024216, 103.7834794"
501 TAMPINES CENTRAL 1,501,TAMPINES CTRL 1,"1.3557763999999999, 103.94433694287885"
106 BUKIT BATOK CENTRAL,106,BT BATOK CTRL,"1.3480917, 103.74749091782907"
11 PINE CLOSE,11,PINE CL,"Error: Not Singapore. Returned address 11, Pine Close, Eaton, Norwich, Norfolk, East of England, England, NR4 7PU, United Kingdom"
60 TEBAN GARDENS ROAD,60,TEBAN GDNS RD,"1.3226816000000001, 103.73880867083784"
736 JURONG WEST STREET 75,736,JURONG WEST ST 75,"1.34612645, 103.70163350472814"
607 ELIAS ROAD,607,ELIAS RD,"1.37621805, 103.94235008014707"
121 RIVERVALE DRIVE,121,RIVERVALE DR,"1.3867855, 103.90454427123612"
3 UPPER ALJUNIED LANE,3,UPP ALJUNIED LANE,"1.33402575, 103.8799389"
304 ANG MO KIO AVENUE 1,304,ANG MO KIO AVE 1,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore"
234 BISHAN STREET 22,234,BISHAN ST 22,"Error: Road retrieved. Returned address Bishan Street 22, Bishan, Singapore, Central, 570282, Singapore"
673A JURONG WEST STREET 65,673A,JURONG WEST ST 65,"1.34428095, 103.70123548124235"
143 RIVERVALE DRIVE,143,RIVERVALE DR,"1.3900256999999998, 103.90563238111723"
491G TAMPINES STREET 45,491G,TAMPINES ST 45,"1.36346925, 103.95450269095167"
835 WOODLANDS STREET 83,835,WOODLANDS ST 83,"1.44046985, 103.79104789882044"
17 HOUGANG AVENUE 3,17,HOUGANG AVE 3,"Error: Road retrieved. Returned address Hougang Avenue 3, Hougang, Northeast, 534412, Singapore"
750 PASIR RIS STREET 71,750,PASIR RIS ST 71,"1.3781773, 103.93482084002602"
234 SIMEI STREET 4,234,SIMEI ST 4,"1.34341695, 103.95543532186488"
490 JURONG WEST AVENUE 1,490,JURONG WEST AVE 1,"1.34958635, 103.72726919881327"
9 JOO SENG ROAD,9,JOO SENG RD,"1.3349051, 103.87943952124174"
166 WOODLANDS STREET 13,166,WOODLANDS ST 13,"1.4333057, 103.7753925"
285 CHOA CHU KANG AVENUE 3,285,CHOA CHU KANG AVE 3,"1.3801142, 103.7419151640001"
107 PASIR RIS STREET 12,107,PASIR RIS ST 12,"1.36747735, 103.95750900493758"
890A WOODLANDS DRIVE 50,890A,WOODLANDS DR 50,"1.4381955, 103.79294775"
623 ANG MO KIO AVENUE 9,623,ANG MO KIO AVE 9,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 9, Ang Mo Kio, Singapore, Central, 569845, Singapore"
