lat_long,school
"1.4429414, 103.80034506744822",ADMIRALTY PRIMARY SCHOOL
"1.4338487, 103.83270977683569",AHMAD IBRAHIM PRIMARY SCHOOL
"1.3607125500000001, 103.83301753795786",AI TONG SCHOOL
"Error: Not Singapore. Returned address Alexandra Primary School, 15, Webster Street, Alexandra, Shire of Murrindindi, Victoria, 3714, Australia",ALEXANDRA PRIMARY SCHOOL
"1.3903797999999998, 103.8873537933713",ANCHOR GREEN PRIMARY SCHOOL
"1.38443915, 103.84141596723363",ANDERSON PRIMARY SCHOOL
"1.3691002, 103.83936023522986",ANG MO KIO PRIMARY SCHOOL
"1.30928255, 103.8413025008237",ANGLO-CHINESE SCHOOL (JUNIOR)
"1.31875235, 103.83507692293153",ANGLO-CHINESE SCHOOL (PRIMARY)
"1.36358045, 103.93891021314855",ANGSANA PRIMARY SCHOOL
"Error: Not Singapore. Returned address Beacon Primary School, Broadbent Street, Beacon, Shire Of Mount Marshall, Western Australia, 6472, Australia",BEACON PRIMARY SCHOOL
"1.3240565000000002, 103.93783056591907",BEDOK GREEN PRIMARY SCHOOL
"1.3222938499999999, 103.86508845",BENDEMEER PRIMARY SCHOOL
"1.27640575, 103.80880997314256",BLANGAH RISE PRIMARY SCHOOL
"1.3428882, 103.71293314363199",BOON LAY GARDEN PRIMARY SCHOOL
"1.3734053, 103.76939883022703",BUKIT PANJANG PRIMARY SCHOOL
"1.33751905, 103.76684937098565",BUKIT TIMAH PRIMARY SCHOOL
"1.34570095, 103.7535184997777",BUKIT VIEW PRIMARY SCHOOL
"1.45085035, 103.81559371692055",CANBERRA PRIMARY SCHOOL
NONE,CANOSSA CATHOLIC PRIMARY SCHOOL
"1.2758142000000001, 103.83988838698619",CANTONMENT PRIMARY SCHOOL
"1.3728079, 103.9572278570395",CASUARINA PRIMARY SCHOOL
"Error: Not Singapore. Returned address Cedar Primary School, Camellia Street, Bontheuwel, Bonteheuwel, City of Cape Town, Western Cape, 7764, South Africa",CEDAR PRIMARY SCHOOL
"1.33982335, 103.95227531092621",CHANGKAT PRIMARY SCHOOL
"Error: Road retrieved. Returned address CHIJ Katong Convent (Primary), Marine Parade Road, Bedok, Southeast, 424821, Singapore",CHIJ (KATONG) PRIMARY
"1.274664, 103.8280550817506",CHIJ (KELLOCK)
NONE,CHIJ OUR LADY OF GOOD COUNSEL
NONE,CHIJ OUR LADY OF THE NATIVITY
NONE,CHIJ OUR LADY QUEEN OF PEACE
"Error: Road retrieved. Returned address CHIJ (Toa Payoh) Primary School, 628, Lorong 1 Toa Payoh, Toa Payoh, Singapore, Central, 319765, Singapore",CHIJ PRIMARY (TOA PAYOH)
"Error: Not Singapore. Returned address 崇福路, 马陆镇, 嘉定区, 201814, 中国",CHONGFU SCHOOL
"1.35054425, 103.95092058934961",CHONGZHENG PRIMARY SCHOOL
"1.37793775, 103.74198414587175",CHUA CHU KANG PRIMARY SCHOOL
"1.31556955, 103.76320883321443",CLEMENTI PRIMARY SCHOOL
"1.3945064, 103.8980350715747",COMPASSVALE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Concord Primary School, 5, Thoreau Street, Concord, Dunedin, Dunedin City, Otago, 9018, New Zealand / Aotearoa",CONCORD PRIMARY SCHOOL
"1.35142845, 103.70769543642461",CORPORATION PRIMARY SCHOOL
"1.3354514, 103.92139171652317",DAMAI PRIMARY SCHOOL
"1.3591826, 103.74796785698436",DAZHONG PRIMARY SCHOOL
"Error: Not Singapore. Returned address De La Salle School, Pine Street, Freeport, Hempstead, Nassau County, New York, 11520, United States",DE LA SALLE SCHOOL
"1.3528815, 103.96191726928652",EAST SPRING PRIMARY SCHOOL
"1.40035045, 103.90752739305407",EDGEFIELD PRIMARY SCHOOL
"1.37491195, 103.94517579238352",ELIAS PARK PRIMARY SCHOOL
"Error: Not Singapore. Returned address Endeavour Primary School, Cheviot Road, East Anton, Andover, Enham Alamein, Test Valley, Hampshire, South East, England, SP11 6FY, United Kingdom",ENDEAVOUR PRIMARY SCHOOL
"1.32463215, 103.90458530342072",EUNOS PRIMARY SCHOOL
"1.4435723, 103.7940923",EVERGREEN PRIMARY SCHOOL
"Error: Not Singapore. Returned address Lancaster Methodist Episcopal Camp Ground Historic District, Lancaster, Fairfield County, Ohio, 43130, United States",FAIRFIELD METHODIST SCHOOL (PRIMARY)
"1.3125247, 103.8510381626646",FARRER PARK PRIMARY SCHOOL
"1.3300987, 103.93188245052653",FENGSHAN PRIMARY SCHOOL
"1.3976461, 103.88002141573315",FERN GREEN PRIMARY SCHOOL
"1.38997975, 103.8740776496129",FERNVALE PRIMARY SCHOOL
"1.3404649, 103.8558674534298",FIRST TOA PAYOH PRIMARY SCHOOL
"1.3369298, 103.69963774202806",FRONTIER PRIMARY SCHOOL
"1.43072155, 103.77823059447893",FUCHUN PRIMARY SCHOOL
"1.3364853499999998, 103.73645449079083",FUHUA PRIMARY SCHOOL
"1.2858741500000002, 103.81513175137866",GAN ENG SENG PRIMARY SCHOOL
"Error: Road retrieved. Returned address Geylang Methodist School, 2, Geylang East Central, Geylang East Garden, Geylang, Singapore, Southeast, 389705, Singapore",GEYLANG METHODIST SCHOOL (PRIMARY)
"1.3573263, 103.94931114016394",GONGSHANG PRIMARY SCHOOL
"1.39620005, 103.91272454370991",GREENDALE PRIMARY SCHOOL
"1.3856168, 103.76800482210834",GREENRIDGE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Greenwood Primary School, 12, Merivale Way, Greenwood, Joondalup, City Of Joondalup, Western Australia, 6024, Australia",GREENWOOD PRIMARY SCHOOL
"1.3457530000000002, 103.84930970398092",GUANGYANG PRIMARY SCHOOL
"Error: Road retrieved. Returned address Haig Girl's School, 51, Koon Seng Road, Geylang, Singapore, Southeast, 427072, Singapore",HAIG GIRLS' SCHOOL
"1.3170568999999999, 103.78421632658535",HENRY PARK PRIMARY SCHOOL
"1.37499965, 103.85742947996668",HOLY INNOCENTS' PRIMARY SCHOOL
"1.32178305, 103.85752691301875",HONG WEN SCHOOL
"1.39998505, 103.91311619800231",HORIZON PRIMARY SCHOOL
"1.3781375, 103.8811475349458",HOUGANG PRIMARY SCHOOL
"1.42686205, 103.84426433501295",HUAMIN PRIMARY SCHOOL
"1.4292761, 103.79073434544745",INNOVA PRIMARY SCHOOL
"1.42810765, 103.83017091898063",JIEMIN PRIMARY SCHOOL
"1.3722577999999999, 103.85201520714915",JING SHAN PRIMARY SCHOOL
"1.347782, 103.9393972465966",JUNYUAN PRIMARY SCHOOL
"1.3487249000000001, 103.73305563805556",JURONG PRIMARY SCHOOL
"1.3393141499999999, 103.69902734141112",JURONG WEST PRIMARY SCHOOL
"1.33875125, 103.68825378175828",JUYING PRIMARY SCHOOL
"1.3453422000000002, 103.75639902669866",KEMING PRIMARY SCHOOL
"1.33703365, 103.84744227895004",KHENG CHENG SCHOOL
"1.3111953, 103.88787278336936",KONG HWA SCHOOL
"1.39393915, 103.74715505973106",KRANJI PRIMARY SCHOOL
"1.3492022000000001, 103.85503898769153",KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL
"Error: Not Singapore. Returned address Lakeside Primary School, Rippledale Close, Hatherley, Up Hatherley, Cheltenham, Gloucestershire, South West England, England, GL51 6HR, United Kingdom",LAKESIDE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Lianhua Primary School, 渝南大道, 鱼洞街道, 巴南区, 重庆市, 中国",LIANHUA PRIMARY SCHOOL
"1.3284777, 103.90153454958934",MAHA BODHI SCHOOL
"1.4341551, 103.77336667761655",MARSILING PRIMARY SCHOOL
"1.3402824, 103.83975627199351",MARYMOUNT CONVENT SCHOOL
"Error: Not Singapore. Returned address Mayflower Primary School, Upper North Street, Bow Common, Poplar, London Borough of Tower Hamlets, London, Greater London, England, E14 6DU, United Kingdom",MAYFLOWER PRIMARY SCHOOL
"1.3948814, 103.90854484597197",MEE TOH SCHOOL
"Error: Not Singapore. Returned address Meridian Primary School, Old Woolwich Road, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 9NY, United Kingdom",MERIDIAN PRIMARY SCHOOL
"Error: Road retrieved. Returned address Methodist Girls' School, 11, Blackmore Drive, Bukit Timah, Singapore, Northwest, 599986, Singapore",METHODIST GIRLS' SCHOOL (PRIMARY)
"1.3746523499999999, 103.88953676594389",MONTFORT JUNIOR SCHOOL
"1.3920267499999999, 103.89104244775346",NAN CHIAU PRIMARY SCHOOL
"1.3065167500000001, 103.76477114778905",NAN HUA PRIMARY SCHOOL
"1.3208318499999998, 103.80821659496904",NANYANG PRIMARY SCHOOL
"1.4165306000000002, 103.83846101951393",NAVAL BASE PRIMARY SCHOOL
"Error: Not Singapore. Returned address New Town Primary School, Forster Street, New Town, Hobart, City of Hobart, Tasmania, 7008, Australia",NEW TOWN PRIMARY SCHOOL
"1.30554595, 103.91795247595277",NGEE ANN PRIMARY SCHOOL
"1.3876014, 103.9037892237047",NORTH SPRING PRIMARY SCHOOL
"1.42773465, 103.8486565717647",NORTH VIEW PRIMARY SCHOOL
"1.3828947999999999, 103.89597706955436",NORTH VISTA PRIMARY SCHOOL
"1.4212034, 103.84058396984423",NORTHLAND PRIMARY SCHOOL
"Error: Road retrieved. Returned address Northoaks, Woodlands, Northwest, Singapore",NORTHOAKS PRIMARY SCHOOL
"1.4180937999999998, 103.90466700674057",NORTHSHORE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Oasis Primary School, Thiongo Road, Kangemi, Nairobi, 13628-00800, Kenya",OASIS PRIMARY SCHOOL
"1.3196642, 103.92376598402687",OPERA ESTATE PRIMARY SCHOOL
"1.38410015, 103.89115435183996",PALM VIEW PRIMARY SCHOOL
"Error: Not Singapore. Returned address Park View Primary School, Deeside, Berg Estate, Buckskin, Basingstoke and Deane, Hampshire, South East, England, RG22 6BF, United Kingdom",PARK VIEW PRIMARY SCHOOL
"1.37215285, 103.96302630022184",PASIR RIS PRIMARY SCHOOL
NONE,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)
"1.3370857, 103.85567994909927",PEI CHUN PUBLIC SCHOOL
"1.3380993, 103.77621882050181",PEI HWA PRESBYTERIAN PRIMARY SCHOOL
"1.316004, 103.76784516774438",PEI TONG PRIMARY SCHOOL
"1.4177946000000001, 103.83016958773982",PEIYING PRIMARY SCHOOL
"Error: Not Singapore. Returned address Pioneer Primary School, Leighton Avenue, Weiser, Washington County, Idaho, 83672, United States",PIONEER PRIMARY SCHOOL
"1.3577705, 103.93548678736875",POI CHING SCHOOL
"1.3493822, 103.74095420018139",PRINCESS ELIZABETH PRIMARY SCHOOL
"1.4116855, 103.89911895564683",PUNGGOL COVE PRIMARY SCHOOL
"1.4019807499999999, 103.89854883359155",PUNGGOL GREEN PRIMARY SCHOOL
