lat_long,school
"Error: Not Singapore. Returned address Greenwood Primary School, 12, Merivale Way, Greenwood, Joondalup, City Of Joondalup, Western Australia, 6024, Australia",GREENWOOD PRIMARY SCHOOL
"1.3457530000000002, 103.84930970398092",GUANGYANG PRIMARY SCHOOL
"Error: Road retrieved. Returned address Haig Girl's School, 51, Koon Seng Road, Geylang, Singapore, Southeast, 427072, Singapore",HAIG GIRLS' SCHOOL
"1.3170568999999999, 103.78421632658535",HENRY PARK PRIMARY SCHOOL
"1.37499965, 103.85742947996668",HOLY INNOCENTS' PRIMARY SCHOOL
"1.32178305, 103.85752691301875",HONG WEN SCHOOL
"1.39998505, 103.91311619800231",HORIZON PRIMARY SCHOOL
"1.3781375, 103.8811475349458",HOUGANG PRIMARY SCHOOL
"1.42686205, 103.84426433501295",HUAMIN PRIMARY SCHOOL
"1.4292761, 103.79073434544745",INNOVA PRIMARY SCHOOL
"1.42810765, 103.83017091898063",JIEMIN PRIMARY SCHOOL
"1.3722577999999999, 103.85201520714915",JING SHAN PRIMARY SCHOOL
"1.347782, 103.9393972465966",JUNYUAN PRIMARY SCHOOL
"1.3487249000000001, 103.73305563805556",JURONG PRIMARY SCHOOL
"1.3393141499999999, 103.69902734141112",JURONG WEST PRIMARY SCHOOL
